location,population,total_cases,total_deaths
United States,338289856.0,103436829.0,1127152.0
China,1425887360.0,99306563.0,121679.0
India,1417173120.0,44997326.0,532023.0
France,67813000.0,38997490.0,167985.0
Germany,83369840.0,38437756.0,174979.0
Brazil,215313504.0,37717062.0,704659.0
South Korea,51815808.0,34436542.0,35812.0
Japan,123951696.0,33803572.0,74694.0
Italy,59037472.0,25955703.0,191276.0
United Kingdom,67508936.0,24688073.0,228924.0
Russia,144713312.0,22994849.0,399999.0
Turkey,85341248.0,17004677.0,101419.0
Spain,47558632.0,13980340.0,121852.0
Vietnam,98186856.0,11622912.0,43206.0
Australia,26177410.0,11587275.0,22781.0
Argentina,45510324.0,10044957.0,130472.0
Netherlands,17564020.0,8617412.0,22986.0
Mexico,127504120.0,7633355.0,334336.0
Iran,88550568.0,7613757.0,146329.0
Indonesia,275501344.0,6813287.0,161918.0
Poland,39857144.0,6518924.0,119638.0
Colombia,51874028.0,6378000.0,142961.0
Austria,8939617.0,6081287.0,22534.0
Portugal,10270857.0,5610180.0,27247.0
Ukraine,39701744.0,5518385.0,109904.0
Greece,10384972.0,5370810.0,37413.0
Chile,19603736.0,5289055.0,61614.0
Malaysia,33938216.0,5125799.0,37187.0
Israel,9449000.0,4834948.0,12645.0
Belgium,11655923.0,4807469.0,34339.0
Thailand,71697024.0,4756593.0,34465.0
Canada,38454328.0,4697504.0,53147.0
Czechia,10493990.0,4644473.0,42820.0
Peru,34049588.0,4517034.0,221364.0
Switzerland,8740471.0,4409757.0,14037.0
Philippines,115559008.0,4110205.0,66661.0
South Africa,59893884.0,4072533.0,102595.0
Romania,19659270.0,3421949.0,68282.0
Denmark,5882259.0,3415744.0,8790.0
Sweden,10549349.0,2714578.0,24721.0
Singapore,5637022.0,2562022.0,1872.0
Serbia,6871547.0,2546196.0,18057.0
Iraq,44496124.0,2465545.0,25375.0
New Zealand,5185289.0,2374922.0,3283.0
Hungary,9967304.0,2203761.0,48803.0
Bangladesh,171186368.0,2045408.0,29477.0
Slovakia,5643455.0,1867037.0,21167.0
Georgia,3744385.0,1855289.0,17132.0
Jordan,11285875.0,1746997.0,14122.0
Ireland,5023108.0,1718293.0,9180.0
Pakistan,235824864.0,1580631.0,30656.0
Kazakhstan,19397998.0,1502857.0,19072.0
Norway,5434324.0,1487386.0,5631.0
Finland,5540745.0,1484331.0,10171.0
Slovenia,2119843.0,1344826.0,9435.0
Lithuania,2750058.0,1323388.0,9701.0
Bulgaria,6781955.0,1299930.0,38403.0
Morocco,37457976.0,1275864.0,16297.0
Croatia,4030361.0,1274434.0,18297.0
Guatemala,17843914.0,1271061.0,20235.0
Puerto Rico,3252412.0,1252713.0,5938.0
Lebanon,5489744.0,1239904.0,10947.0
Costa Rica,5180836.0,1238883.0,9428.0
Bolivia,12224114.0,1206420.0,22399.0
Tunisia,12356116.0,1153361.0,29423.0
Cuba,11212198.0,1115064.0,8530.0
Ecuador,18001002.0,1069114.0,36042.0
United Arab Emirates,9441138.0,1067030.0,2349.0
Panama,4408582.0,1047321.0,8652.0
Uruguay,3422796.0,1038774.0,7634.0
Mongolia,3398373.0,1010975.0,2284.0
Nepal,30547586.0,1003434.0,12031.0
Belarus,9534956.0,994037.0,7118.0
Latvia,1850654.0,975910.0,7378.0
Saudi Arabia,36408824.0,841469.0,9646.0
Azerbaijan,10358078.0,832312.0,10302.0
Paraguay,6780745.0,735759.0,19961.0
Palestine,5250076.0,703228.0,5708.0
Bahrain,1472237.0,696614.0,1536.0
Sri Lanka,21832150.0,672579.0,16882.0
Dominican Republic,11228821.0,667048.0,4384.0
Kuwait,4268886.0,666153.0,2570.0
Cyprus,896007.0,660854.0,1364.0
Myanmar,54179312.0,641188.0,19494.0
Moldova,3272993.0,621065.0,12125.0
Estonia,1326064.0,601851.0,2901.0
Venezuela,28301700.0,552695.0,5856.0
Egypt,110990096.0,516023.0,24830.0
Qatar,2695131.0,514524.0,690.0
Libya,6812344.0,507269.0,6437.0
Ethiopia,123379928.0,501032.0,7574.0
Reunion,974062.0,494595.0,921.0
Honduras,10432858.0,474566.0,11127.0
Armenia,2780472.0,449357.0,8751.0
Bosnia and Herzegovina,3233530.0,403070.0,16352.0
Oman,4576300.0,399449.0,4628.0
Luxembourg,647601.0,383398.0,1000.0
Zambia,20017670.0,349287.0,4069.0
North Macedonia,2093606.0,348411.0,9941.0
Kenya,54027484.0,343955.0,5689.0
Albania,2842318.0,334090.0,3604.0
Botswana,2630300.0,330251.0,2800.0
Brunei,449002.0,310522.0,163.0
Mauritius,1299478.0,309204.0,1053.0
Kosovo,1782115.0,273969.0,3209.0
Algeria,44903228.0,271852.0,6881.0
Nigeria,218541216.0,266675.0,3155.0
Zimbabwe,16320539.0,265737.0,5717.0
Montenegro,627082.0,251133.0,2654.0
Mozambique,32969520.0,233417.0,2243.0
Martinique,367512.0,230354.0,1104.0
Afghanistan,41128772.0,225357.0,7944.0
Laos,7529477.0,218816.0,671.0
Iceland,372903.0,208957.0,186.0
Guadeloupe,395762.0,203235.0,1021.0
El Salvador,6336393.0,201785.0,4230.0
Trinidad and Tobago,1531043.0,191496.0,4390.0
Maldives,523798.0,186694.0,316.0
Uzbekistan,34627648.0,172571.0,1016.0
Namibia,2567024.0,171998.0,4098.0
Uganda,47249588.0,171829.0,3632.0
Ghana,33475870.0,171653.0,1462.0
Jamaica,2827382.0,155860.0,3596.0
Cambodia,16767851.0,138940.0,3056.0
Rwanda,13776702.0,133194.0,1468.0
Cameroon,27914542.0,125090.0,1974.0
Malta,533293.0,120044.0,877.0
Barbados,281646.0,109503.0,620.0
Angola,35588996.0,105384.0,1934.0
French Guiana,304568.0,98041.0,413.0
Democratic Republic of Congo,99010216.0,97697.0,1468.0
Senegal,17316452.0,89014.0,1971.0
Malawi,20405318.0,88908.0,2686.0
Cote d'Ivoire,28160548.0,88338.0,835.0
Kyrgyzstan,6630621.0,87949.0,1024.0
Suriname,618046.0,82588.0,1408.0
New Caledonia,289959.0,80064.0,314.0
French Polynesia,306292.0,78623.0,649.0
Eswatini,1201680.0,74882.0,1427.0
Guyana,808727.0,73385.0,1299.0
Belize,405285.0,70782.0,688.0
Fiji,929769.0,69047.0,885.0
Madagascar,29611718.0,68319.0,1425.0
Jersey,110796.0,66391.0,161.0
Cape Verde,593162.0,64238.0,415.0
Sudan,46874200.0,63993.0,5046.0
Mauritania,4736146.0,63714.0,997.0
Bhutan,782457.0,62697.0,21.0
Syria,22125242.0,57423.0,3163.0
Burundi,12889583.0,54241.0,15.0
Guam,171783.0,51917.0,416.0
Seychelles,107135.0,50937.0,172.0
Gabon,2388997.0,48992.0,307.0
Andorra,79843.0,48015.0,159.0
Papua New Guinea,10142625.0,46864.0,670.0
Curacao,191173.0,45883.0,305.0
Aruba,106459.0,44224.0,292.0
Tanzania,65497752.0,43078.0,846.0
Mayotte,326113.0,42027.0,187.0
Togo,8848700.0,39513.0,290.0
Guinea,13859349.0,38563.0,468.0
Bahamas,409989.0,38084.0,844.0
Isle of Man,84534.0,38008.0,116.0
Guernsey,63329.0,35326.0,67.0
Faeroe Islands,53117.0,34658.0,28.0
Lesotho,2305826.0,34490.0,706.0
Haiti,11585003.0,34301.0,860.0
Mali,22593598.0,33152.0,743.0
Cayman Islands,68722.0,31472.0,37.0
Saint Lucia,179872.0,30052.0,409.0
Benin,13352864.0,28014.0,163.0
Somalia,17597508.0,27334.0,1361.0
Micronesia (country),114178.0,26530.0,65.0
United States Virgin Islands,99479.0,25389.0,132.0
Congo,5970430.0,25196.0,389.0
San Marino,33690.0,24447.0,126.0
Timor,1341298.0,23460.0,138.0
Burkina Faso,22673764.0,22056.0,396.0
Solomon Islands,724272.0,21611.0,153.0
Liechtenstein,39355.0,21477.0,87.0
Gibraltar,32677.0,20550.0,113.0
Grenada,125459.0,19693.0,238.0
Bermuda,64207.0,18860.0,165.0
South Sudan,10913172.0,18368.0,138.0
Tajikistan,9952789.0,17786.0,125.0
Equatorial Guinea,1674916.0,17130.0,183.0
Monaco,36491.0,16918.0,67.0
Tonga,106867.0,16821.0,12.0
Samoa,222390.0,16778.0,31.0
Marshall Islands,41593.0,16119.0,17.0
Nicaragua,6948395.0,15984.0,245.0
Dominica,72758.0,15760.0,74.0
Djibouti,1120851.0,15690.0,189.0
Central African Republic,5579148.0,15367.0,113.0
Northern Mariana Islands,49574.0,14198.0,41.0
Gambia,2705995.0,12626.0,372.0
Saint Martin (French part),31816.0,12324.0,46.0
Vanuatu,326744.0,12019.0,14.0
Greenland,56494.0,11971.0,21.0
Yemen,33696612.0,11945.0,2159.0
Bonaire Sint Eustatius and Saba,27052.0,11922.0,41.0
Sint Maarten (Dutch part),44192.0,11051.0,92.0
Eritrea,3684041.0,10189.0,103.0
Saint Vincent and the Grenadines,103959.0,9631.0,124.0
Guinea-Bissau,2105580.0,9614.0,177.0
Niger,26207982.0,9515.0,315.0
Comoros,836783.0,9109.0,160.0
Antigua and Barbuda,93772.0,9106.0,146.0
American Samoa,44295.0,8341.0,34.0
Liberia,5302690.0,8090.0,294.0
Sierra Leone,8605723.0,7762.0,125.0
Chad,17723312.0,7698.0,194.0
British Virgin Islands,31332.0,7305.0,64.0
Cook Islands,17032.0,7152.0,2.0
Turks and Caicos Islands,45726.0,6630.0,39.0
Saint Kitts and Nevis,47681.0,6607.0,46.0
Sao Tome and Principe,227393.0,6589.0,80.0
Palau,18084.0,6220.0,9.0
Saint Barthelemy,10994.0,5507.0,5.0
Nauru,12691.0,5393.0,1.0
Kiribati,131237.0,5085.0,24.0
Anguilla,15877.0,3904.0,12.0
Wallis and Futuna,11596.0,3550.0,8.0
Saint Pierre and Miquelon,5885.0,3426.0,2.0
Tuvalu,11335.0,2943.0,1.0
Montserrat,4413.0,1403.0,8.0
